5L profile	Denmark	France	Germany	Japan	Netherlands	Spain	Thailand	UK	US	Zimbabwe
11111	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900
11112	0.856	0.929	0.999	0.829	0.845	0.932	0.814	0.879	0.876	0.864
11113	0.818	0.910	0.999	0.785	0.805	0.914	0.766	0.848	0.844	0.854
11114	0.671	0.769	0.809	0.761	0.592	0.731	0.660	0.635	0.700	0.792
11115	0.519	0.622	0.611	0.736	0.370	0.541	0.549	0.414	0.550	0.727
11121	0.859	0.910	0.910	0.814	0.874	0.910	0.780	0.837	0.861	0.846
11122	0.787	0.839	0.909	0.740	0.765	0.857	0.723	0.768	0.820	0.810
11123	0.768	0.820	0.909	0.721	0.736	0.843	0.708	0.750	0.809	0.800
11124	0.622	0.679	0.719	0.697	0.523	0.660	0.602	0.537	0.669	0.738
11125	0.469	0.532	0.521	0.672	0.301	0.470	0.491	0.316	0.524	0.673
11131	0.824	0.888	0.887	0.768	0.843	0.887	0.726	0.796	0.827	0.833
11132	0.770	0.817	0.887	0.718	0.745	0.838	0.701	0.740	0.806	0.797
11133	0.756	0.798	0.887	0.705	0.719	0.825	0.694	0.725	0.800	0.787
11134	0.609	0.657	0.697	0.681	0.506	0.642	0.588	0.512	0.661	0.725
11135	0.457	0.510	0.499	0.656	0.284	0.452	0.477	0.291	0.517	0.660
11141	0.691	0.757	0.677	0.723	0.652	0.702	0.616	0.584	0.682	0.739
11142	0.637	0.686	0.677	0.673	0.554	0.653	0.590	0.527	0.663	0.703
11143	0.623	0.667	0.677	0.660	0.528	0.640	0.584	0.513	0.659	0.693
11144	0.476	0.560	0.550	0.635	0.361	0.514	0.505	0.352	0.544	0.631
11145	0.324	0.449	0.418	0.611	0.187	0.383	0.422	0.186	0.426	0.566
11151	0.490	0.561	0.361	0.654	0.366	0.424	0.450	0.264	0.463	0.598
11152	0.436	0.490	0.361	0.604	0.268	0.375	0.425	0.208	0.450	0.562
11153	0.422	0.471	0.361	0.591	0.242	0.362	0.418	0.193	0.446	0.552
11154	0.275	0.415	0.329	0.567	0.143	0.322	0.380	0.112	0.369	0.490
11155	0.123	0.357	0.296	0.542	0.041	0.280	0.340	0.028	0.289	0.425
11211	0.870	0.875	0.999	0.843	0.917	0.924	0.791	0.906	0.888	0.866
11212	0.798	0.803	0.999	0.769	0.808	0.871	0.734	0.837	0.846	0.829
11213	0.780	0.785	0.999	0.750	0.779	0.857	0.719	0.819	0.835	0.820
11214	0.633	0.644	0.809	0.726	0.566	0.674	0.612	0.606	0.695	0.757
11215	0.481	0.497	0.611	0.701	0.344	0.484	0.502	0.385	0.550	0.693
11221	0.802	0.785	0.909	0.755	0.837	0.849	0.701	0.795	0.832	0.812
11222	0.745	0.714	0.909	0.700	0.737	0.799	0.669	0.736	0.796	0.775
11223	0.730	0.695	0.909	0.686	0.710	0.786	0.661	0.721	0.786	0.766
11224	0.583	0.554	0.719	0.662	0.497	0.603	0.555	0.508	0.654	0.704
11225	0.431	0.407	0.521	0.637	0.275	0.413	0.444	0.287	0.517	0.639
11231	0.786	0.763	0.887	0.733	0.817	0.830	0.679	0.767	0.818	0.799
11232	0.732	0.691	0.887	0.683	0.719	0.781	0.653	0.711	0.783	0.762
11233	0.718	0.673	0.887	0.670	0.693	0.768	0.647	0.696	0.774	0.753
11234	0.571	0.532	0.697	0.646	0.480	0.585	0.540	0.483	0.644	0.690
11235	0.419	0.385	0.499	0.621	0.258	0.395	0.430	0.262	0.508	0.626
11241	0.652	0.632	0.677	0.687	0.627	0.645	0.568	0.555	0.676	0.705
11242	0.598	0.561	0.677	0.637	0.528	0.596	0.543	0.498	0.647	0.668
11243	0.584	0.542	0.677	0.624	0.503	0.583	0.536	0.484	0.640	0.659
11244	0.437	0.435	0.550	0.600	0.335	0.457	0.457	0.323	0.532	0.596
11245	0.285	0.324	0.418	0.575	0.161	0.326	0.375	0.157	0.421	0.532
11251	0.452	0.436	0.361	0.619	0.340	0.367	0.403	0.235	0.463	0.564
11252	0.398	0.364	0.361	0.569	0.242	0.318	0.377	0.179	0.443	0.527
11253	0.384	0.346	0.361	0.556	0.216	0.305	0.371	0.164	0.437	0.518
11254	0.237	0.290	0.329	0.532	0.118	0.265	0.332	0.083	0.365	0.455
11255	0.085	0.232	0.296	0.507	0.015	0.223	0.293	-0.001	0.289	0.391
11311	0.838	0.844	0.999	0.804	0.897	0.905	0.739	0.883	0.860	0.857
11312	0.784	0.773	0.999	0.754	0.799	0.856	0.714	0.827	0.839	0.821
11313	0.770	0.754	0.999	0.741	0.773	0.843	0.707	0.812	0.833	0.811
11314	0.623	0.613	0.809	0.717	0.560	0.660	0.601	0.599	0.694	0.749
11315	0.471	0.466	0.611	0.692	0.338	0.470	0.490	0.378	0.550	0.684
11321	0.788	0.754	0.909	0.740	0.828	0.834	0.681	0.785	0.825	0.803
11322	0.734	0.683	0.909	0.690	0.730	0.785	0.656	0.728	0.790	0.767
11323	0.720	0.664	0.909	0.677	0.704	0.772	0.649	0.714	0.781	0.757
11324	0.574	0.523	0.719	0.653	0.491	0.589	0.543	0.501	0.650	0.695
11325	0.421	0.376	0.521	0.628	0.269	0.399	0.432	0.280	0.515	0.630
11331	0.776	0.732	0.887	0.724	0.811	0.816	0.667	0.760	0.816	0.790
