mainHeader	weeks	useIt	FurtherProcess	question	category	group
ExcludeFromStudy		x	0	0	0	0
mnppid	0	0	0	0	0	0
mnpaid	0	x	0	ID	0	0
mnplabid	0	0	0	0	0	0
mnpptnid	0	0	0	0	0	0
mnpctrid	0	0	0	0	0	0
mnpcid	0	0	0	0	0	0
mnpcs0	0	0	0	0	0	0
mnpcs1	0	0	0	0	0	0
mnpcs3	0	0	0	0	0	0
mnpcs4	0	0	0	0	0	0
mnpcs5	0	0	0	0	0	0
mnpcs7	0	0	0	0	0	0
mnpvisstartdate	0	0	0	0	0	0
v13426_1_mnpmicageneral_mnpdocid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnplastedit	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpptnid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnppusid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnplang	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_sigstatus	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_sigreason	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpvsno	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpvslbl	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpcvpid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpvisid	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpvisno	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpvispdt	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpvisfdt	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfs0	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfs1	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfs2	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfs3	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfcs0	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfcs1	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfcs2	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfcs3	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfsqa	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnpfsct	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_mnphide	General/präoperativ	0	0	0	0	0
v13426_1_mnpmicageneral_radpostprae	General/präoperativ	x	0	post	Studie post vs pre	0
v13426_1_mnpmicageneral_intalter	General/präoperativ	x	0	age	0	0
v13426_1_mnpmicageneral_radgeschlecht	General/präoperativ	x	0	sex	0	0
v13426_1_mnpmicageneral_datop	General/präoperativ	x	0	op_date	0	0
