myMax	myMin	myMeans	myMedians	mySD
ageVec	80	16	55.5894736842105	60	15.4764713230653
sexVec	1	0	0.147368421052632	0	0.356353310593412
Clin_FU	104	6	73.2391304347826	52	32.0601665023534
Rad_FU	104	52	82.1052631578947	104	25.8100564617296
general_smoke	0	0	0	0	0
general_otherDis	-Inf	Inf	NA	NA	NA
painKMaxEntryInTime	5	0	2.28888888888889	2	1.69761527678242
recommLastEntryInTime	10	0	9.49462365591398	10	1.69797613488874
SatisLastEntryInTime	10	0	9.16129032258065	10	2.00700037142089
myEQ5D5LPreOpValue	1	0.357	0.782666666666667	0.806	0.176866592850845
myFFIPreOpValue	68.2608695652174	0	21.7391304347826	15.6521739130435	18.8395444850165
myMOFXPreOpValue	81.25	0	39.5625	39.0625	24.8478442643086
myEQVASPreOpValue	100	25	83.258064516129	90	15.7521802553075
myAOFASPreOpValue	80	20	51	49	16.1226913532012
myEQ5D5LLastEntryInTime	1	0.421	0.909505263157895	0.999	0.123931078451077
myFFILastEntryInTime	85.2173913043478	0	8.45298281092012	2.39130434782609	15.6035910768001
myMOFXLastEntryInTime	96.875	0	16.304347826087	8.59375	20.5015561955215
myEQVASLastEntryInTime	100	0	81.6842105263158	90	21.7452675985818
myAOFASLastEntryInTime	100	40	87.7368421052632	90	12.5961920337616
HVpraeOpLastEntryInTime	42	11	26.4526315789474	26	6.92938304498305
HVpostOpLastEntryInTime	19	1	8.31578947368421	8	4.1979304878403
HV_diffLastEntryInTime	33	4	18.1368421052632	19	5.89375891744239
IMApraeOpLastEntryInTime	20	6	14.4736842105263	14	2.96734749832437
IMApostOpLastEntryInTime	10	1	5.65263157894737	6	2.28672589995945
IMA_diffLastEntryInTime	15	-1	8.82105263157895	9	3.19234105843512
myFFI_diff	33.0434782608696	-66.0869565217391	-17.0764617691155	-12.6086956521739	20.6496881641423
myMOFX_diff	4.6875	-73.4375	-26.875	-25	24.1556638027192
myEQVAS_diff	75	-90	-1.25806451612903	0	29.2049855811589
myAOFAS_diff	71	12	38.4857142857143	35	15.2129423007312
FFIsubScales disability 1	62	0	10.3225806451613	6	13.981862290778
FFIsubScales disability 2	56	0	17.4193548387097	10	18.7701433017943
FFIsubScales disability 3	74	0	9.16666666666667	2	15.3475111757829
FFIsubScales disability 4	50	0	4.32	0	9.87563482847083
FFIsubScales disability 5	58	0	4.96774193548387	0	11.7612419076813
FFIsums_disability timepoint 6+7	80	0	5.55102040816326	0	15.7335379901367
FFIsubScales difficulty 1	75.5555555555556	0	22.6388888888889	16.1111111111111	22.7653169867448
FFIsubScales difficulty 2	78.8888888888889	0	24.3174603174603	15.5555555555556	21.8394674956088
FFIsubScales difficulty 3	95.5555555555556	0	15.9574468085106	7.77777777777778	19.817234608855
FFIsubScales difficulty 4	90	0	10.5787037037037	4.44444444444444	17.0784275119128
FFIsubScales difficulty 5	70	0	8.05555555555556	2.22222222222222	14.7952829500728
FFIsums_difficulty timepoint 6+7	84.4444444444444	0	9.66903073286052	1.11111111111111	19.8827951877387
FFIsubScales pain 1	67.7777777777778	0	26.989247311828	24.4444444444444	21.2977974641037
FFIsubScales pain 2	77.7777777777778	0	24.1750841750842	17.7777777777778	21.8033974569542
FFIsubScales pain 3	61.1111111111111	0	15.5082742316785	11.1111111111111	15.171160606902
FFIsubScales pain 4	72.2222222222222	0	12.3429951690821	7.77777777777778	15.3410756278513
FFIsubScales pain 5	65.5555555555556	0	9.38034188034188	2.22222222222222	15.5297224984274
FFIsums_pain timepoint 6+7	88.8888888888889	0	7.84126984126984	0	19.2354649633445
socialInteraction timepoint 1	87.5	0	38.4765625	34.375	25.8479860835736
socialInteraction timepoint 2	87.5	0	43.90625	40.625	29.4340139614803
socialInteraction timepoint 3	75	0	24.8697916666667	18.75	22.607955527804
socialInteraction timepoint 4	50	0	17.3076923076923	12.5	17.4866626616037
socialInteraction timepoint 5	68.75	0	14.7540983606557	6.25	18.2585876942923
socialInteraction timepoint 6+7	93.75	0	11.9791666666667	0	23.5212010144703
walkingNstanding timepoint 1	78.5714285714286	0	37.7232142857143	35.7142857142857	24.3908253264487
walkingNstanding timepoint 2	92.8571428571428	3.57142857142857	45.3571428571429	46.4285714285714	25.4499025647385
walkingNstanding timepoint 3	75	0	26.9345238095238	21.4285714285714	22.5270418543016
walkingNstanding timepoint 4	82.1428571428571	0	17.5137362637363	7.14285714285714	21.2911045308872
walkingNstanding timepoint 5	75	0	14.344262295082	3.57142857142857	20.6453265461392
walkingNstanding timepoint 6+7	96.4285714285714	0	13.5416666666667	0	25.4460675155245
painMOXFQ timepoint 1	90	0	43.4615384615385	40	25.2495239863737
painMOXFQ timepoint 2	90	5	32.258064516129	30	16.3726759000791
painMOXFQ timepoint 3	55	0	26.25	22.5	16.3593461094325
painMOXFQ timepoint 4	100	0	22.6086956521739	20	20.4053133177171
painMOXFQ timepoint 	90	0	17.8301886792453	15	19.8191203804817
painMOXFQ timepoint 6+7	100	0	21.5555555555556	15	26.6462990399277
