myMax	myMin	myMeans	myMedians	mySD
ageVec	80	16	55.3367346938775	59	15.3360594392681
sexVec	1	0	0.142857142857143	0	0.35172622905633
Clin_FU	104	6	72.8421052631579	52	32.1480338532094
Rad_FU	104	52	82.2448979591837	104	25.7830205553685
general_smoke	0	0	0	0	0
general_otherDis	-Inf	Inf	NA	NA	NA
painKMaxEntryInTime	5	0	2.24731182795699	2	1.68533259508449
recommLastEntryInTime	10	0	9.51041666666667	10	1.67328728880524
SatisLastEntryInTime	10	0	9.17708333333333	10	1.97880767750719
myEQ5D5LPreOpValue	1	0.357	0.782823529411765	0.797	0.17416858266394
myFFIPreOpValue	68.2608695652174	0	21.9855072463768	15.8695652173913	18.5609959539233
myMOFXPreOpValue	81.25	0	39.5625	39.0625	24.8478442643086
myEQVASPreOpValue	100	25	83.71875	90	15.7136356956051
myAOFASPreOpValue	80	20	51.5277777777778	50.5	16.2031498015683
myEQ5D5LLastEntryInTime	1	0.421	0.909275510204082	0.999	0.122968337271781
myFFILastEntryInTime	85.2173913043478	0	8.38299951148022	2.60869565217391	15.3569250430544
myMOFXLastEntryInTime	96.875	0	16.6940789473684	9.375	20.3983241582353
myEQVASLastEntryInTime	100	0	81.8877551020408	90	21.4653317485062
myAOFASLastEntryInTime	100	40	87.701030927835	90	12.4675954548629
HVpraeOpLastEntryInTime	42	11	26.3571428571429	26	6.87630025192612
HVpostOpLastEntryInTime	19	1	8.31632653061224	8	4.13333678333178
HV_diffLastEntryInTime	33	4	18.0408163265306	18	5.86078768737034
IMApraeOpLastEntryInTime	20	6	14.4489795918367	14	2.93265457658392
IMApostOpLastEntryInTime	10	1	5.63265306122449	6	2.25849030454243
IMA_diffLastEntryInTime	15	-1	8.81632653061224	9	3.15688394835993
myFFI_diff	33.0434782608696	-66.0869565217391	-17.1014492753623	-13.2608695652174	20.290997326311
myMOFX_diff	4.6875	-73.4375	-26.875	-25	24.1556638027192
myEQVAS_diff	75	-90	-1.3125	0	28.7317263103732
myAOFAS_diff	71	12	37.8333333333333	35	15.4965433933783
FFIsubScales disability 1	62	0	10.5625	7	13.8212960971991
FFIsubScales disability 2	56	0	17.1875	10	18.5114393577802
FFIsubScales disability 3	74	0	9	2	15.0874998943239
FFIsubScales disability 4	50	0	4.31372549019608	0	9.77648238596773
FFIsubScales disability 5	58	0	5.03125	0	11.6455165430974
FFIsums_disability timepoint 6+7	80	0	5.37254901960784	0	15.4427468855948
FFIsubScales difficulty 1	75.5555555555556	0	22.7946127946128	17.7777777777778	22.424635806602
FFIsubScales difficulty 2	78.8888888888889	0	24.6604938271605	17.2222222222222	21.6233909608348
FFIsubScales difficulty 3	95.5555555555556	0	15.5555555555556	7.77777777777778	19.5157423002781
FFIsubScales difficulty 4	90	0	10.5787037037037	4.44444444444444	17.0784275119128
FFIsubScales difficulty 5	70	0	7.97491039426523	2.22222222222222	14.5922439684077
FFIsums_difficulty timepoint 6+7	84.4444444444444	0	9.52380952380952	1.11111111111111	19.4933248045108
FFIsubScales pain 1	67.7777777777778	0	27.2916666666667	26.6666666666667	21.0211959936533
FFIsubScales pain 2	77.7777777777778	0	24.7712418300654	17.7777777777778	21.750084453164
FFIsubScales pain 3	61.1111111111111	0	15.2546296296296	10.5555555555556	15.1114232747157
FFIsubScales pain 4	72.2222222222222	0	12.2695035460993	7.77777777777778	15.1817711533286
FFIsubScales pain 5	65.5555555555556	0	9.21810699588478	2.22222222222222	15.2876444291892
FFIsums_pain timepoint 6+7	88.8888888888889	0	7.5975975975976	1.11111111111111	18.7293800903142
socialInteraction timepoint 1	87.5	0	39.7727272727273	37.5	26.5081328643597
socialInteraction timepoint 2	87.5	0	43.2926829268293	37.5	29.3280956613612
socialInteraction timepoint 3	75	0	25.125	18.75	23.0588892284294
socialInteraction timepoint 4	56.25	0	18.0424528301887	12.5	18.1250156398511
socialInteraction timepoint 5	68.75	0	14.5833333333333	6.25	17.9955751729822
socialInteraction timepoint 6+7	93.75	0	12.625	0	23.470087888847
walkingNstanding timepoint 1	78.5714285714286	0	38.2034632034632	35.7142857142857	24.1646940102913
walkingNstanding timepoint 2	92.8571428571428	3.57142857142857	45.0348432055749	46.4285714285714	25.2143622112924
walkingNstanding timepoint 3	75	0	26.9285714285714	21.4285714285714	22.5555217596319
walkingNstanding timepoint 4	82.1428571428571	0	17.8571428571429	7.14285714285714	21.2330826555657
walkingNstanding timepoint 5	75	0	14.1156462585034	3.57142857142857	20.3898453011326
walkingNstanding timepoint 6+7	96.4285714285714	0	13.3381924198251	0	25.2198613469317
painMOXFQ timepoint 1	90	0	43.4615384615385	40	25.2495239863737
painMOXFQ timepoint 2	90	5	32.03125	30	16.1574598271051
painMOXFQ timepoint 3	55	0	26.0975609756098	20	16.1830233239169
painMOXFQ timepoint 4	100	0	23.1914893617021	20	20.5739792370514
painMOXFQ timepoint 	90	0	17.7272727272727	15	19.6689777789464
painMOXFQ timepoint 6+7	100	0	22.2340425531915	15	26.5151415035762
